date,open,high,low,close,volume,value
2020-10-09,21.9,23.4,21.2,23.1,44418340.27401117,988261290.665306
2020-10-10,23.0,28.9,21.9,23.2,133457131.50827667,3297864165.060353
2020-10-11,23.2,27.4,22.2,24.0,72015005.94178891,1733369293.7948399
2020-10-12,24.0,25.0,23.2,23.5,29461399.82299022,701762806.4860046
2020-10-13,23.5,23.7,22.5,23.0,15988081.27525144,370280194.74004173
2020-10-14,22.9,23.0,21.4,22.0,14537344.15736408,324840826.21456915
2020-10-15,22.1,23.0,21.1,21.4,19802762.3918729,433343688.31008536
2020-10-16,21.5,21.6,19.9,20.8,12374611.6870752,254138408.27678284
2020-10-17,20.8,21.2,20.5,20.9,2928911.7441019,61020825.2454362
2020-10-18,20.9,21.3,20.8,21.3,2947598.77348896,61941672.4032304
2020-10-19,21.3,22.9,20.4,22.6,38450536.32006394,837378224.8661104
2020-10-20,22.6,23.8,20.5,20.8,70904922.22693694,1593146472.4136379
2020-10-21,20.7,21.5,20.5,20.9,17367469.16274983,363332121.5360831
2020-10-22,21.0,22.4,20.8,22.0,14165489.26922224,307091263.60999465
2020-10-23,22.0,22.5,21.5,22.1,9614572.05237649,212372146.82840645
2020-10-24,22.1,22.7,21.8,22.0,6213252.30395639,138217988.64330974
2020-10-25,21.8,22.2,21.3,21.5,4492754.04021969,98161442.5975708
2020-10-26,21.4,21.7,20.5,20.8,5584969.82394737,118223098.89299457
2020-10-27,20.8,21.4,20.3,20.9,12072708.95771152,251079157.47219694
2020-10-28,20.7,20.9,19.8,20.3,9676664.6614291,197074533.3395278
2020-10-29,20.2,20.3,19.7,19.9,5124246.28228562,102608552.96687286
2020-10-30,19.9,20.4,18.8,19.9,7072505.11650748,137025960.15578884
2020-10-31,19.8,20.4,19.7,20.0,4212506.53513913,84173764.88461496
2020-11-01,20.0,20.4,19.8,20.4,3201864.52004772,64304438.27333911
2020-11-02,20.4,20.6,19.6,19.6,4938839.99588569,99187648.3841878
2020-11-03,19.5,19.8,19.0,19.8,4917914.2436916,94780078.12936263
2020-11-04,19.8,20.0,19.0,19.7,3916506.586745,76617023.77602215
2020-11-05,19.8,21.2,19.8,21.0,8543666.07426741,176500834.76414904
2020-11-06,21.0,23.0,20.7,23.0,18053726.59475602,392950835.7991547
2020-11-07,22.9,23.4,20.1,20.9,28926730.59806186,633503324.2037933
2020-11-08,20.9,21.9,20.5,21.6,8473783.26291475,180502279.45336828
2020-11-09,21.6,21.7,20.7,21.6,10528353.71227372,224400638.13622242
2020-11-10,21.7,23.7,21.3,22.5,79571583.6395964,1795691035.0682771
2020-11-11,22.5,23.2,22.3,22.6,25929136.43002304,589506611.4089426
2020-11-12,22.4,22.8,21.0,21.2,15964338.50364231,351242330.97453135
2020-11-13,21.2,22.6,21.1,22.5,14162334.74645515,311801029.6829346
